track_id,track_name,artists,year,years_active
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"Powfu, beabadoobee",[2020],1
7eJnqjloMsQGrYOYIfDNTR,run run run (slowed + reverb),rebug,[2024],1
6piAUJJQFD8oHDUr0b7l7q,VALENTINO,24kGoldn,[2020],1
6nH7G7zImTcBpqRMIPeHLK,Hands up!,"6arelyhuman, kets4eki, Pixel Hood",[2024],1
5r9aVTAfQ2csU5vSUBeYRp,THE DEVIL WEARS PRADA,"PLVTINUM, Shaker, Vana",[2025],1
6EpU2zxfZU13uKlSbdPmHE,New Magic FNAF,stxr29,[2022],1
67cpn8ZBO7QU67jky8Fh47,How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God),"DJ Scheme, Danny Towers, Lil Yachty, Ski Mask The Slump God",[2019],1
67smGwuPEtA6GAfeweAVNO,SLAY!,Eternxlkz,[2024],1
684yJVwS41anCimZla5jk9,The Automotivo Infernal 1.0 - Purple,"MRL, Mc Gw",[2024],1
68NddryKBycFryRVkUXjyJ,TELL EM,"yoitsvic, Cochise",[2021],1
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,[2025],1
6DyMrh39uJ04o3S1uZdpg4,Give It To Me - Sped Up Remix,"Timbaland, Justin Timberlake, Nelly Furtado",[2024],1
6FeaswxFAqcG82qpotCNna,Who's That Girl?,Visibly True,[2025],1
66vs64VphiHrtFcLR6Qeav,Talkin' Bout (feat. Saweetie),"Loui, Saweetie",[2021],1
6G2psrvm6JGBYrsuMYG0dz,Close to You (feat. Sadie Rose Van),"LMNT 115, Sadie Rose Van",[2025],1
6MpCaSIOfqBqbMED4kXgNY,Prom Queen,Beach Bunny,[2019],1
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,[2025],1
6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,Labrinth,[2020],1
6OYt65uojulET7Kv7BRRrP,Milkshake,BBY KODIE,[2021],1
6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,[2020],1
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),Lil Nas X,[2021],1
63Pi2NAx5yCgeLhCTOrEou,Headlock,Imogen Heap,[2025],1
6PFgvUkdZxGAjcdzIQugZt,Who Is She / Devil's Work (Medley),Sviral.,[2024],1
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",[2025],1
5reQI13tWWYDLMrGcUF4Mk,Nuestra Canción,"Monsieur Periné, Vicente Garcia",[2021],1
5s6QMzY5oeVaOVJJsb59Tj,I'm Sorry,Swell,[2019],1
5sGb7vB83MhpdZsx1tEIYH,Eyes. Lips. Face.,"iLL Wayno, Holla FyeSixWun",[2019],1
5toKOQ86ydhA5UJ8DfENzy,Running Away,"VANO 3000, BADBADNOTGOOD, Samuel T. Herring",[2022],1
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,[2025],1
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,CJ,[2020],1
5wA5mA9v9lPxAaSg1FagG6,Big And Chunky,will.i.am,[2019],1
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,[2025],1
5zNW5ARjYhJQJz1AChP33n,Thot Shit,Megan Thee Stallion,[2021],1
609D2bCBNzawQXSRaTnFrx,CUTE DEPRESSED,Dyan Dxddy,[2024],1
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,[2025],1
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",[2020],1
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,[2025],1
62ke5zFUJN6RvtXZgVH0F8,Only Love Can Hurt Like This,Paloma Faith,[2022],1
6PERP62TejQjgHu81OHxgM,good 4 u,Olivia Rodrigo,[2021],1
6QgkOxBXqVRjZ1JcIDbDYY,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),"T-Pain, Joey Galaxy",[2021],1
6mapJIPnQ23RTAevUoE0DL,Swang,Rae Sremmurd,[2021],1
6i9DuNcQpRD9g62UqWPVsN,Satisfaction - Push Push Push - Slowed + Reverb,Eibell,[2024],1
6bzwoiUt0s1KDOedyy4OtQ,High School,"Nicki Minaj, Lil Wayne",[2021],1
6cVD6OQ3ZRAjcTkyrUCIYZ,Wannabe,why mona,[2022],1
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,[2025],1
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,[2020],1
6gYCc3olxE5YjnIoF5CouN,Obsessed - Sped Up,Six Dior,[2024],1
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott, Young Thug",[2020],1
6iLprfeUnVbUbWOZecTKCC,Shh,Young Fanatic,[2019],1
6brhQDeHFhQ9OcSs0qo91x,BAIXO - slowed,xxanteria,[2024],1
6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,[2021],1
6kx8Hf1Udk4V0Ivq6zpoyG,Crystal Dolphin,Engelwood,[2020],1
6llBOJ6HLHvlVnKeZqhXk8,Rumors,Jake Miller,[2020],1
6lq0OqAXfxnwtFGqdARtRU,fast,Sueco,[2019],1
6lruHh1jF7ezgbLv72xYmf,FML,Arizona Zervas,[2020],1
6maTPqynTmrkWIralgGaoP,If We Ever Broke Up,Mae Stephens,[2023],1
6bxKECVRnkLmtpeU22Ve9p,help_urself,Ezekiel,[2024],1
6bNB5gxFX6Q87DbQWb8OWZ,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),"Shakira, Freshlyground",[2022],1
6Ql2mpc1EbGp0GI6CbaGT4,vampire heart,"Isak Roen, Key Kelly",[2024],1
6VObnIkLVruX4UVyxWhlqm,Skyfall,Adele,[2024],1
6RK3IsiUW6YaSMEodbO4tk,Solitude - Felsmann + Tiley Reinterpretation,"M83, Felsmann + Tiley",[2024],1
6Slt6WiWnriaqCb8xXb2ZT,Did It On’em,Nicki Minaj,[2021],1
